"totalCount","data__award_id","data__award_fixed_id","data__code","data__name","data__award_operative_from","data__award_operative_to","data__version_number","data__last_modified_datetime","data__published_year"
"","1875","125","MA000125","Nurses and Midwives (Victoria) State Reference Public Sector Award 2015","2015-06-02","null","2","2025-07-04T00:23:33+00:00","2025"
"","1876","126","MA000126","Printing Industry – Herald & Weekly Times – Production Award 2015","2015-05-15","null","2","2025-07-04T00:23:34+00:00","2025"
"","1877","127","MA000127","Chullora Printing Award 2015 ","2015-05-15","null","2","2025-07-04T00:23:34+00:00","2025"
"","1878","128","MA000128","Queensland Newspapers Pty Ltd Printing (Murarrie) Award 2015","2015-05-15","null","2","2025-07-04T00:23:34+00:00","2025"
"","1879","129","MA000129","Northern Territory News Award 2015  ","2015-05-15","null","2","2025-07-04T00:23:34+00:00","2025"
"","1880","130","MA000130","Metropolitan Newspapers (South Australia and Tasmania) Printing Award 2015","2015-05-15","null","2","2025-07-04T00:23:34+00:00","2025"
"","1881","131","MA000131","Nurses (ANMF - Victorian Local Government) Award 2015","2015-07-20","null","2","2025-07-04T00:23:34+00:00","2025"
"","1882","132","MA000132","Victorian Local Government Award 2015","2015-07-20","null","2","2025-07-04T00:23:34+00:00","2025"
"","1883","133","MA000133","Optus Award 2015","2015-07-17","null","2","2025-07-04T00:23:35+00:00","2025"
"","1884","134","MA000134","Victorian State Government Agencies Award 2015","2015-08-06","null","2","2025-07-04T00:23:35+00:00","2025"
"","1885","135","MA000135","Victorian Public Service Award 2016","2016-10-03","null","2","2025-07-04T00:23:35+00:00","2025"
"","1886","136","MA000136","Viterra Bulk Handling and Storage of Grains, Pulses and Minerals Award 2015","2015-12-14","null","2","2025-07-04T00:23:35+00:00","2025"
"","1887","137","MA000137","Australia Post Enterprise Award 2015","2015-09-17","null","2","2025-07-04T00:23:35+00:00","2025"
"","1888","138","MA000138","GrainCorp Country Operations Award 2015 ","2015-12-14","null","2","2025-07-04T00:23:35+00:00","2025"
"","1889","139","MA000139","Aboriginal Legal Rights Movement Award 2016","2016-05-16","null","2","2025-07-04T00:23:35+00:00","2025"
"","1890","140","MA000140","Reserve Bank of Australia Award 2016","2016-05-23","null","2","2025-06-30T17:03:38+00:00","2025"
"","1891","141","MA000141","Airservices Australia Enterprise Award 2016","2016-05-30","null","2","2025-07-04T00:23:35+00:00","2025"
"","1892","142","MA000142","Australian Federal Police Enterprise Award 2016","2016-08-19","null","2","2025-07-04T00:23:35+00:00","2025"
"","1893","143","MA000143","Australian Bureau of Statistics (Interviewers) Enterprise Award 2016","2016-07-21","null","2","2025-07-04T00:23:35+00:00","2025"
"","1894","144","MA000144","Australian Nuclear Science and Technology Organisation (ANSTO) Enterprise Award 2016","2016-08-19","null","2","2025-07-04T00:23:35+00:00","2025"
"","1895","145","MA000145","Parliamentary Departments Staff Enterprise Award 2016","2016-05-30","null","2","2025-07-04T00:23:35+00:00","2025"
"","1896","146","MA000146","Australian Capital Territory Public Sector Enterprise Award 2016","2016-06-06","null","2","2025-07-04T00:23:36+00:00","2025"
"","1897","147","MA000147","Australian Broadcasting Corporation Enterprise Award 2016","2016-08-24","null","2","2025-07-04T00:23:36+00:00","2025"
"","1898","148","MA000148","CSIRO Enterprise Award 2016","2016-08-19","null","2","2025-07-04T00:23:36+00:00","2025"
"","1899","149","MA000149","Christmas Island Administration Enterprise Award 2016","2016-05-23","null","2","2025-07-04T00:23:36+00:00","2025"
"","1900","150","MA000150","Victorian Local Government  (Early Childhood Education Employees) Award 2016","2016-07-18","null","2","2025-07-04T00:23:36+00:00","2025"
"","1901","151","MA000151","Northern Territory Public Sector Enterprise Award 2016","2016-08-19","null","2","2025-07-04T00:23:36+00:00","2025"
"","1902","152","MA000152","Victorian Government Schools—Early Childhood—Award 2016","2016-08-15","null","2","2025-06-30T17:03:46+00:00","2025"
"","1903","153","MA000153","Australian Government Industry Award 2016","2016-08-15","null","2","2025-07-04T00:23:36+00:00","2025"
"","1904","154","MA000155","Victorian Government Schools Award 2016","2016-08-15","null","2","2025-07-04T00:23:36+00:00","2025"
"","1905","155","MA000156","Note Printing Australia Award 2016","2016-11-07","null","2","2025-07-04T00:23:36+00:00","2025"
"","1906","156","MA000157","Health Professionals, Medical Scientists and Support Services (Victoria) State Reference Public Sector Modern Award 2018","2020-11-11","null","2","2025-07-04T00:23:36+00:00","2025"
